crisis,estimator,ticker,side,pre_weight_mean,crisis_weight_mean,weight_delta,cohens_d_weight,pre_syst_share,crisis_syst_share,syst_share_delta
COVID,Gerber,DUK,casualty,0.204105,0.087826,-0.116278,-1.158448,0.020849,0.389015,0.368165
COVID,Gerber,BAC,casualty,0.033155,0.004186,-0.028969,-1.094315,0.480135,0.720940,0.240805
Rates,Sample,MRK,beneficiary,0.002116,0.044273,0.042157,3.083240,0.393233,0.091926,-0.301308
Rates,Sample,LMT,beneficiary,0.000692,0.065930,0.065238,2.531822,0.451782,0.118610,-0.333173
Rates,Sample,IBM,beneficiary,0.000001,0.012115,0.012114,1.332193,0.601148,0.254302,-0.346846
Rates,Sample,JNJ,beneficiary,0.016200,0.074476,0.058276,1.172862,0.385492,0.196920,-0.188571
Rates,Sample,PFE,beneficiary,0.005091,0.027914,0.022822,1.138120,0.372010,0.086002,-0.286008
Rates,Sample,D,casualty,0.019365,0.000219,-0.019146,-1.052169,0.296984,0.142688,-0.154296
Rates,Sample,QCOM,casualty,0.007854,0.000286,-0.007568,-0.862450,0.374595,0.340765,-0.033831
Rates,Sample,VZ,casualty,0.267879,0.143133,-0.124746,-0.855155,0.343360,0.177033,-0.166327
Rates,Sample,WFC,casualty,0.011489,0.000001,-0.011489,-0.838545,0.593853,0.460916,-0.132937
Rates,Sample,AMZN,casualty,0.061093,0.022476,-0.038617,-0.809693,0.358107,0.289062,-0.069045
Rates,LW,MRK,beneficiary,0.004791,0.048376,0.043585,3.556994,0.393233,0.091926,-0.301308
Rates,LW,LMT,beneficiary,0.001333,0.066775,0.065442,2.839231,0.451782,0.118610,-0.333173
Rates,LW,IBM,beneficiary,0.000002,0.014574,0.014572,1.507158,0.601148,0.254302,-0.346846
Rates,LW,PM,beneficiary,0.000080,0.011249,0.011168,1.302261,0.411020,0.200903,-0.210118
Rates,LW,JNJ,beneficiary,0.018437,0.069990,0.051554,1.259446,0.385492,0.196920,-0.188571
Rates,LW,D,casualty,0.023640,0.000813,-0.022827,-1.128793,0.296984,0.142688,-0.154296
Rates,LW,CHTR,casualty,0.040068,0.011153,-0.028915,-1.026332,0.381602,0.161032,-0.220570
Rates,LW,COST,casualty,0.039524,0.010478,-0.029047,-0.973629,0.366400,0.275255,-0.091145
Rates,LW,QCOM,casualty,0.008156,0.000236,-0.007920,-0.888249,0.374595,0.340765,-0.033831
Rates,LW,WFC,casualty,0.010811,0.000001,-0.010810,-0.856834,0.593853,0.460916,-0.132937
Rates,Gerber,MCD,beneficiary,0.037728,0.104503,0.066775,1.484439,0.434388,0.351895,-0.082493
Rates,Gerber,JNJ,beneficiary,0.013757,0.104400,0.090643,1.425262,0.385492,0.196920,-0.188571
Rates,Gerber,LMT,beneficiary,0.002590,0.042757,0.040167,1.366559,0.451782,0.118610,-0.333173
Rates,Gerber,CVX,beneficiary,0.001489,0.027634,0.026145,1.244355,0.566099,0.302219,-0.263881
Rates,Gerber,PG,beneficiary,0.009231,0.074413,0.065182,1.117692,0.356147,0.197477,-0.158670
Rates,Gerber,WMT,casualty,0.046835,0.013188,-0.033646,-1.025613,0.259018,0.140584,-0.118434
Rates,Gerber,AMT,casualty,0.039427,0.000930,-0.038498,-1.006296,0.319867,0.201884,-0.117982
Rates,Gerber,WFC,casualty,0.025026,0.000928,-0.024099,-0.951173,0.593853,0.460916,-0.132937
Rates,Gerber,MO,casualty,0.028539,0.000928,-0.027611,-0.938658,0.352232,0.205531,-0.146701
Rates,Gerber,AMZN,casualty,0.061806,0.020831,-0.040975,-0.759847,0.358107,0.289062,-0.069045
