crisis,estimator,variable,beta_std,tstat,pval,r2
GFC,Sample,beta,-0.022873797913243704,-2.9625362404535567,0.0038926756265629248,0.08796269998070716
GFC,Sample,beta_sq,-0.018289196995058814,-2.328598064913856,0.02209558013322699,0.05623559146165813
GFC,Sample,total_var,-0.012991138442712501,-1.6301564192516793,0.10652512986523432,0.02837372881239497
GFC,Sample,syst_var,-0.018289196995058817,-2.3285980649138565,0.02209558013322699,0.05623559146165813
GFC,Sample,idio_var,-0.007701903588728623,-0.9574281930058697,0.34088792868255124,0.009972823833595434
GFC,Sample,syst_share,-0.013681824196608204,-1.7195680784487013,0.08891057448602346,0.03147096087652956
GFC,Sample,inv_idio_var,0.027093359978300726,3.579283665596435,0.0005550121036925759,0.12340925379714962
GFC,Sample,beta_over_idio,0.010009527694005878,1.2486309457620712,0.21500285745133274,0.016844152421760072
GFC,Sample,beta_sq_over_idio,-0.014876190223373973,-1.8752388063334655,0.06396662003908227,0.03720535372198297
GFC,Sample,total_vol,-0.018640807472226236,-2.376115167026389,0.019592559158410072,0.058418638830820546
GFC,Sample,idio_vol,-0.01301475280097913,-1.6332063752153103,0.10588104177880853,0.028476974015166134
GFC,Sample,syst_vol,-0.022873797913243708,-2.9625362404535567,0.0038926756265629248,0.08796269998070716
GFC,Sample,skewness,-0.0024353986232203266,-0.30138274587569486,0.7638102612273139,0.0009971536976499662
GFC,Sample,ex_kurtosis,0.003966897275977188,0.49131258874689626,0.6243882763164239,0.0026455982859752147
GFC,Sample,downside_vol,-0.015687012016382333,-1.9817404706740616,0.05052593715572895,0.04137161267453293
GFC,Sample,var_5pct,-0.018542651508486628,-2.3628336031042307,0.020265514665553264,0.05780503442311313
GFC,Sample,cvar_5pct,-0.0168662046431862,-2.1379163762922624,0.03520368017633935,0.04782519204013336
GFC,Sample,max_drawdown,-0.020244290846406825,-2.594994186889684,0.01102613187876944,0.06890125428419303
GFC,Sample,avg_corr,-0.011398967758857488,-1.4255858918251068,0.15740913465099404,0.021845049958429286
GFC,Sample,autocorr_1,0.001985442709012229,0.24565918659098585,0.8064992704421947,0.0006627301234078953
GFC,Sample,amihud,-0.00719112094687887,-0.8933556701417493,0.37402324379068164,0.008693910760732226
GFC,Sample,log_dolvol,-0.00013121777500303745,-0.01623024179615239,0.9870862408423591,2.8947251231592475e-06
GFC,LW,beta,-0.02215149486170574,-3.9643219897500455,0.000146330367401859,0.14726818002649233
GFC,LW,beta_sq,-0.017930266908087435,-3.1173967000032023,0.0024423332402867537,0.096488676663123
GFC,LW,total_var,-0.012762385666316198,-2.1626549476227366,0.03318975913305877,0.04888398138154593
GFC,LW,syst_var,-0.017930266908087435,-3.1173967000032023,0.0024423332402867537,0.096488676663123
GFC,LW,idio_var,-0.00759414758107626,-1.2660258191673999,0.20873532308133402,0.01730855875666293
GFC,LW,syst_share,-0.015348993082963691,-2.631332211879432,0.009989309782771016,0.07070703432066983
GFC,LW,inv_idio_var,0.022420683447568934,4.020996194578356,0.00011941559413042313,0.15086918185075893
GFC,LW,beta_over_idio,0.006494538147391432,1.0801567970826431,0.28292684054554496,0.01265899957686445
GFC,LW,beta_sq_over_idio,-0.01598533973545793,-2.749289944581695,0.007203436745240266,0.07669138530320396
GFC,LW,total_vol,-0.017880893417124104,-3.107899967385,0.00251430255242191,0.09595801823131112
GFC,LW,idio_vol,-0.012241200598857601,-2.0700855002872522,0.04127813532020075,0.04497289768956736
GFC,LW,syst_vol,-0.02215149486170574,-3.9643219897500446,0.000146330367401859,0.14726818002649233
GFC,LW,skewness,-0.0025329545117973706,-0.4190038765287253,0.6762006750157692,0.0019255625122047704
GFC,LW,ex_kurtosis,0.0027825064320323974,0.460376832143473,0.6463439867681668,0.0023236739807244167
GFC,LW,downside_vol,-0.015043387712155737,-2.5750818740903267,0.011634622949648898,0.0679194465821793
GFC,LW,var_5pct,-0.01755306366338517,-3.0450536514662923,0.003042531580550012,0.0924716692027161
GFC,LW,cvar_5pct,-0.01613643458217613,-2.777468249884674,0.006652672499571688,0.07814802459343195
GFC,LW,max_drawdown,-0.019538842897379442,-3.431592872891659,0.00090436387522419,0.11457781159173097
GFC,LW,avg_corr,-0.0126162478107283,-2.13664120242243,0.03531030390603429,0.047770882349573496
GFC,LW,autocorr_1,0.00260942925785222,0.43167993082602746,0.6669950974579995,0.0020435905994575787
GFC,LW,amihud,-0.007014718101122651,-1.1679200039177662,0.24588991213335687,0.014768054514003537
GFC,LW,log_dolvol,-8.346144365802513e-05,-0.013792991332049082,0.9890253289836566,2.0906177159440986e-06
GFC,Gerber,beta,-0.023825924752894488,-2.257287636999896,0.026382633438873038,0.05302387274698228
GFC,Gerber,beta_sq,-0.02024854754792395,-1.9036186106247888,0.06012023158113111,0.03829655118996067
GFC,Gerber,total_var,-0.016316408251411136,-1.5233484632527214,0.131139275692711,0.024866865147916695
GFC,Gerber,syst_var,-0.02024854754792395,-1.9036186106247888,0.06012023158113111,0.03829655118996056
GFC,Gerber,idio_var,-0.011729351455849002,-1.0884016373431964,0.27929199949384786,0.012850496625973706
GFC,Gerber,syst_share,-0.012419979051754763,-1.1533974945303371,0.25176775318535016,0.014408329756715799
GFC,Gerber,inv_idio_var,0.02098774522953714,1.9760397475592337,0.05117901906695299,0.04114371282705798
GFC,Gerber,beta_over_idio,0.010038897903307718,0.929921852725889,0.354871864773296,0.009413345253588612
GFC,Gerber,beta_sq_over_idio,-0.00871694740469491,-0.8065248618780214,0.42204309293526077,0.007097424215654291
GFC,Gerber,total_vol,-0.02063996432766045,-1.9419266025103843,0.055238975174314975,0.039791452963633955
GFC,Gerber,idio_vol,-0.016273175277953175,-1.5192095920463433,0.13217660866989345,0.024735262135775593
GFC,Gerber,syst_vol,-0.023825924752894485,-2.2572876369998958,0.026382633438873038,0.05302387274698228
GFC,Gerber,skewness,-0.00794828728572383,-0.7349628213580047,0.46425200636218156,0.005900910460625242
