label,peak_date,peak_vix,pre_port_beta,peak_port_beta,pre_eff_n,peak_eff_n,pre_beta_coef,peak_beta_coef,pre_amihud_coef,peak_amihud_coef
GFC,2008-03-17,32.2,0.4849180061804668,0.41083848625737285,13.284130339247188,5.564097110560534,-0.0307305307527222,-0.05974199466419041,-30.957635375443523,47.57931039441048
GFC,2008-11-20,80.9,0.3913725664849076,0.520861369054516,5.097617634242759,7.269861342571318,-0.053716233595461696,-0.04875757805227398,29.01511121331503,-23.57665597235846
Flash Crash / EU,2010-05-20,45.8,0.359697152467798,0.45902516336886356,8.615702477293556,9.369878747037374,-0.01855280417435444,-0.04504458279961353,-7.253089977107437,76.54198914959346
EU debt / US downgrade,2011-08-08,48.0,0.472356896508996,0.4597892082121913,9.580961888903554,9.471219878219078,-0.04699942909156139,-0.05573760069157726,2.20933528188636,-0.6286606749319584
China devaluation,2015-08-24,40.7,0.6913094694398723,0.7075286474585756,14.289103267763553,12.093781673882392,-0.07558023046458294,-0.08327521122926507,29.37161396037233,23.669872011180356
Volmageddon,2018-12-24,36.1,0.5652525690723539,0.5452285170419475,17.628158299850696,15.124534611914141,-0.04847021128914752,-0.04649768357175627,144.96775145657782,638.0627187019658
COVID-19,2020-03-16,82.7,0.5170759257087981,0.5955895072809351,16.548311245560058,8.488029185982734,-0.03999106415473449,-0.07232171684928605,333.9054472816216,201.83652100952833
Rate hikes / Ukraine,2022-03-07,36.5,0.5625986065364226,0.5526909933996228,14.319864218947052,19.24592150762486,-0.017764087025617187,-0.02789695728834297,-79.94631371847412,109.5381381563733
