label,peak_date,peak_vix,pre_port_beta,peak_port_beta,pre_eff_n,peak_eff_n,pre_beta_coef,peak_beta_coef,pre_amihud_coef,peak_amihud_coef
GFC,2008-03-17,32.2,0.501439040145417,0.3959903466214791,13.284130339247188,5.564097110560534,-0.032773135582413605,-0.05818859982732549,-32.862674740916596,33.240744419581404
GFC,2008-11-20,80.9,0.37775200363243033,0.5285361497476894,5.097617634242759,7.269861342571318,-0.05309121042758455,-0.05334555036104895,25.601473132177173,-27.20338676405971
Flash Crash / EU,2010-05-20,45.8,0.40241630735006045,0.4567885207205043,8.615702477293556,9.369878747037374,-0.018947183171164513,-0.048938865500124405,-8.371290803328396,70.18480590226808
EU debt / US downgrade,2011-08-08,48.0,0.4571144077059508,0.44927080996436003,9.580961888903554,9.471219878219078,-0.049659887626005955,-0.05748495783423085,2.1845307931662177,-0.5896241645714463
China devaluation,2015-08-24,40.7,0.6867526212084197,0.6974045918391588,14.289103267763553,12.093781673882392,-0.07489178287849993,-0.08417339028390057,-1.8704151494155161,-3.752870005190468
Volmageddon,2018-12-24,36.1,0.5265379623201543,0.49645168507215887,17.628158299850696,15.124534611914141,-0.04735307731470678,-0.04501527405109555,184.3036546355452,649.8751604287979
COVID-19,2020-03-16,82.7,0.48969733977941843,0.6315829150944225,16.548311245560058,8.488029185982734,-0.04178049889223516,-0.07047540368506289,308.22675389629,222.1097579980813
Rate hikes / Ukraine,2022-03-07,36.5,0.5365850458263794,0.4432581521660265,14.319864218947052,19.24592150762486,-0.04552347808653086,-0.03146478439330441,197.264647348162,1.0951119807726144
